"","RID","gender","age","religious_identity","caste","educ_level","employment_status","annual_household_income","marital_status","party_support","should_women_run","registered_to_vote","pol_engagement","vote_2019_national","vote_2020_delhi","country_direction","modi_approval","lib_cons_scale","most_imp_issue","support_wrb","village_res","state_res","national_res","no_res","village_res_treat","state_res_treat","national_res_treat","sc_st_res_treat","village_res_control","state_res_control","national_res_control","sc_st_res_control","news_verification","woman_false_1","woman_false_2","woman_false_3","male_false_1","male_false_2","male_false_3","male_false_4","male_true_1","male_true_2","female_true_1","female_true_2","female_true_3","Treatment","Control","response_id","caste_bin","edu","employed","household_inc","marriage","vote_2019","vote_2020","political_engagement","ideology_scale","religion","wrb"
"195","R_514OfXrV0Us3Db3","1",39,"Hindu","Other backward classes (OBCs)","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Military tensions","Yes","","","National","","Yes","Yes","Yes","Yes","","","","","Yes",4,4,4,4,4,4,4,4,4,4,4,4,1,NA,"5f7b5e59-ceed-a7b1-a57b-5df9378c74a8","1","1","1",3,"1",1,1,1,1,"Hindu",1
"196","R_1BY6zcXdvL3DRwl","0",28,"Muslim","Other backward classes (OBCs)","Post-graduate","Self-employed/freelance","₹5,00,001 - ₹10,00,000","Currently married","Indian National Congress (INC)",1,"Yes","Extremely engaged","Yes","No","Right direction","Approve","Extremely liberal","Economic downturn","Yes","","State","","","","","","","Yes","Yes","Yes","Yes","Yes",2,2,4,3,2,3,2,3,2,2,4,3,NA,1,"5f7b5f1c-d533-f717-7785-32bcf9c2fbc6","1","1","1",3,"1",1,0,0.5,7,"Muslim",1
"197","R_eWChDBXWcpMDL0d","0",20,"Muslim","Other backward classes (OBCs)","Higher secondary/Senior secondary","Self-employed/freelance","₹2,50,001 - ₹5,00,000","Never married","Aam Aadmi Party (AAP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Moderate; middle of the road","Economic downturn","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",3,2,2,2,3,2,2,3,3,2,2,3,1,NA,"5f7b5eb0-7353-8d5e-20f3-ed2fe7f3be7d","1","0","1",2,"0",1,1,1,4,"Muslim",1
"198","R_2EsJzo7h0i2OT5M","1",20,"Hindu","Other backward classes (OBCs)","Higher secondary/Senior secondary","Student","₹2,50,001 - ₹5,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Not at all engaged","Yes","Yes","Wrong track","Approve","Liberal","Gender discrimination","Maybe","","","National","","","","","","Yes","Yes","Yes","Yes","Yes",1,3,2,2,1,1,1,2,1,4,2,3,NA,1,"5f7b5f10-23bc-56c3-9a2e-5e4d399ecb83","1","0","0",2,"0",1,1,1,6,"Hindu",0
"199","R_pmIfRg3DLiiBMvT","1",30,"Hindu","Forward castes","Post-graduate","Employed","₹2,50,001 - ₹5,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",3,3,3,2,3,1,3,2,3,4,3,3,NA,1,"5f7b585a-51fa-1b63-f5aa-309663a58f28","0","1","1",2,"1",1,1,1,7,"Hindu",1
"200","R_3oz0ym6mR7xD7wL","0",25,"Hindu","Forward castes","Graduate","Self-employed/freelance","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","No","Right direction","Approve","Liberal","Economic downturn","Yes","","State","National","","","","","","Yes","Yes","Yes","Maybe","Yes",1,1,2,3,1,1,3,1,3,3,3,2,NA,1,"5f7b5ee4-f1cc-3f80-81cc-565efe4ce679","0","1","1",3,"1",1,0,0.5,6,"Hindu",1
"201","R_2Tu8lClQ2bO8lF1","1",32,"Buddhist","Scheduled castes","Graduate","Employed","₹30,00,001 - ₹40,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Liberal","Economic downturn","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","No",3,3,3,3,3,3,3,3,3,3,3,3,1,NA,"5f7b5d70-fe4a-3a8d-bacd-d836235dfa93","1","1","1",6,"1",1,1,1,6,"Other",1
"202","R_4IRZXxbce5SKGgp","0",23,"Christian","Scheduled tribe","Higher secondary/Senior secondary","Student","₹0 - ₹2,50,000","Never married","Indian National Congress (INC)",0,"Yes","Somewhat engaged","Yes","No","Right direction","Approve","Conservative","Economic downturn","Maybe","Village","","","","Yes","Yes","Yes","Yes","","","","","Yes",2,4,2,4,2,4,4,2,2,2,2,4,1,NA,"5f7b55d8-5865-ed36-f640-3fc5b155365a","1","0","0",1,"0",1,0,0.5,2,"Other",0
"203","R_O1kowKPObuFuvGF","0",45,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Moderate; middle of the road","Economic downturn","Yes","Village","","","","Yes","No","No","No","","","","","Yes",3,2,2,3,2,3,2,2,2,3,2,2,1,NA,"5f7b5fc4-50cf-b458-acf1-dfafa48a6d4a","0","1","1",3,"1",1,1,1,4,"Hindu",1
"204","R_2YtFYbFzgNa4bS2","0",35,"Hindu","Other backward classes (OBCs)","Post-graduate","Employed","₹30,00,001 - ₹40,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","","State","","","Yes","Yes","Yes","Yes","","","","","Yes",4,4,4,4,4,4,4,4,4,4,4,4,1,NA,"5f7b5f1e-0bbf-98eb-6a67-909fbe9546f0","1","1","1",6,"1",1,1,1,7,"Hindu",1
"205","R_1d0qNyfL46axv2B","1",45,"Hindu","Scheduled castes","Graduate","Employed","₹20,00,001 - ₹30,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Liberal","Economic inequality","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",1,4,3,1,3,4,3,4,4,1,3,1,NA,1,"5f7b5f75-7e53-cf1a-5732-81a16909634e","1","1","1",5,"1",1,1,1,6,"Hindu",1
"206","R_2tmJSt5Lcb6ymNh","1",27,"Hindu","Other backward classes (OBCs)","Graduate","Employed","₹2,50,001 - ₹5,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Moderate; middle of the road","Military tensions","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",1,4,3,2,1,2,2,2,2,4,4,2,1,NA,"5f7b5e5f-8586-cb1a-5c39-56f0f1362f4b","1","1","1",2,"1",1,1,1,4,"Hindu",1
"207","R_2ZVJTBgh9qYxBWW","0",28,"Hindu",NA,"Matric/Secondary","Employed","₹2,50,001 - ₹5,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","","","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,4,4,4,4,4,4,4,4,4,4,NA,1,"5f7b5f61-a369-aac1-29d8-7e1622ff41f1",NA,"0","1",2,"1",1,1,1,7,"Hindu",1
"208","R_1EapvczIC6O8zNV","0",39,"Hindu","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Caste discrimination","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,4,4,3,4,4,4,4,4,1,4,NA,1,"5f7b5fa1-1b66-7c68-29cd-555e53e047df","0","1","1",4,"1",1,1,1,7,"Hindu",1
"209","R_125Zsamw5Zg0uwh","1",26,"Hindu","Forward castes","Graduate","Employed","₹0 - ₹2,50,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","No","Right direction","Approve","Liberal","Caste discrimination","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",4,2,4,4,4,1,1,4,4,3,3,4,1,NA,"5f7b5e3d-1624-7253-f654-0b1d58d1caa4","0","1","1",1,"1",1,0,0.5,6,"Hindu",1
"210","R_1mUl7rPyAxpde8b","0",40,"Muslim","Forward castes","Graduate","Employed","₹2,50,001 - ₹5,00,000","Currently married","Indian National Congress (INC)",1,"Yes","Extremely engaged","No","Yes","Wrong track","Disapprove","Moderate; middle of the road","Economic inequality","Yes","","State","","","","","","","Yes","Yes","Yes","Yes","Yes",3,4,4,4,3,4,4,3,4,4,3,4,NA,1,"5f7b616f-4804-19df-68ba-c2258cd92ec1","0","1","1",2,"1",0,1,0.5,4,"Muslim",1
"211","R_DS7vcDM7JkQ5NdL","1",38,"Hindu","Scheduled castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic inequality","Yes","","","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,3,3,3,3,3,4,4,3,3,3,NA,1,"5f7b609f-e0ca-c247-0f47-7a2dd0192b30","1","1","1",3,"1",1,1,1,7,"Hindu",1
"212","R_3g100PayV9L90SK","0",30,"Hindu","Scheduled castes","Graduate","Employed","₹40,00,001 - ₹50,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Wrong track","Approve","Liberal","Economic downturn","Yes","","State","","","Yes","Yes","No","Yes","","","","","Yes",3,3,3,3,3,4,3,3,3,3,3,3,1,NA,"5f7b61ba-6330-bbb9-a5d6-983d655c70e9","1","1","1",7,"0",1,1,1,6,"Hindu",1
"213","R_cucugp5c854esfL","1",38,"Hindu","Scheduled castes","Post-graduate","Self-employed/freelance","₹2,50,001 - ₹5,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,4,4,4,4,4,4,4,4,4,4,NA,1,"5f7b616a-3a81-dee5-5eff-217fccfd74f7","1","1","1",2,"1",1,1,1,7,"Hindu",1
"214","R_06v0Eeab5Gy6e7n","0",35,"Hindu","Other backward classes (OBCs)","Post-graduate","Employed","₹30,00,001 - ₹40,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Economic downturn","Yes","","State","","","","","","","No","Yes","Yes","Yes","Yes",4,4,4,4,3,3,4,3,4,3,4,3,NA,1,"5f7b5f96-8921-0314-d285-a95c48d448c2","1","1","1",6,"1",1,1,1,1,"Hindu",1
"215","R_31XxK2pH0hglw6Z","1",30,"Hindu","Other backward classes (OBCs)","Post-graduate","Self-employed/freelance","₹40,00,001 - ₹50,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","","","National","","Yes","Yes","Yes","Yes","","","","","Yes",3,2,3,3,2,2,2,4,4,4,3,2,1,NA,"5f7b5ecf-c744-57ea-24cb-b66f269a2c5e","1","1","1",7,"1",1,1,1,7,"Hindu",1
"216","R_WpVrlYwCTbmYkKt","0",30,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","No","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,3,4,4,4,4,4,1,4,4,4,4,NA,1,"5f7b5d8a-8922-9dc9-db61-83766cfe5327","0","1","1",3,"1",1,0,0.5,7,"Hindu",1
"217","R_2Po5JnhOTZKEBjQ","0",30,"Hindu","Forward castes","Post-graduate","Employed","₹30,00,001 - ₹40,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Slightly conservative","Economic downturn","No","Village","","","","Yes","No","No","Yes","","","","","Yes",2,4,4,2,4,2,4,2,2,4,2,2,1,NA,"5f7b605c-f571-539f-fa67-1903d4583647","0","1","1",6,"1",1,1,1,3,"Hindu",0
"218","R_TvDcqLpF8vVllrb","1",27,"Hindu","Forward castes","Graduate","Homemaker","₹5,00,001 - ₹10,00,000","Currently married","Aam Aadmi Party (AAP)",1,"Yes","Somewhat engaged","Yes","Yes","Wrong track","Approve","Liberal","Economic downturn","Yes","","","National","","Yes","Yes","Yes","No","","","","","Yes",3,3,3,3,3,3,3,3,3,3,3,3,1,NA,"5f7b60c1-af4d-2fdf-55ba-9deb5072a9f2","0","1","1",3,"1",1,1,1,6,"Hindu",1
"219","R_6xMyp6XQw0jWQ5b","1",21,"Hindu","Other backward classes (OBCs)","Higher secondary/Senior secondary","Self-employed/freelance","₹2,50,001 - ₹5,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Slightly conservative","Economic downturn","Maybe","","","National","","","","","","Yes","Yes","Yes","Yes","Yes",3,3,4,3,2,3,3,4,3,3,3,3,NA,1,"5f7b5fc5-d38e-743f-513d-2d9929cc2479","1","0","1",2,"0",1,1,1,3,"Hindu",0
"220","R_vq0D7CimPL4msPT","0",26,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","State","","","Yes","Yes","No","Yes","","","","","No",3,4,4,3,4,3,4,3,4,3,3,4,1,NA,"5f7b5da5-d227-1dec-2250-691732119d52","0","1","1",3,"0",1,1,1,7,"Hindu",1
"221","R_12xzDpWOHJXiOU6","0",30,"Hindu","Forward castes","Primary","Employed","₹2,50,001 - ₹5,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Liberal","Gender discrimination","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",3,4,4,4,3,3,4,4,4,4,4,4,1,NA,"5f7b6315-e077-f76d-a0b1-da8a5a8bcb6b","0","0","1",2,"1",1,1,1,6,"Hindu",1
"222","R_1P4XAP6jfqeeoK5","0",20,"Hindu","Other backward classes (OBCs)","Middle","Student","₹0 - ₹2,50,000","Never married","Bharatiya Janata Party (BJP)",1,"No","Not at all engaged","No","No","Right direction","Approve","Haven't thought much about this","Military tensions","Yes","","","National","","","","","","Yes","Yes","Yes","Maybe","No",2,2,2,3,2,3,3,2,2,4,2,4,NA,1,"5f7b63b3-3392-aadc-0685-11c8a9f6256b","1","0","0",1,"0",0,0,0,NA,"Hindu",1
"223","R_3pijN2yapaBTrIA","1",32,"Muslim","Forward castes","Post-graduate","Self-employed/freelance","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Economic inequality","Yes","Village","State","","","Yes","Yes","Yes","Yes","","","","","Yes",2,3,4,3,4,3,3,3,3,4,3,4,1,NA,"5f7b63d8-6637-b3e8-9c32-bf852e23f621","0","1","1",4,"1",1,1,1,1,"Muslim",1
"224","R_Ah90p3woaLQjYC5","0",26,"Hindu","Forward castes","Post-graduate","Self-employed/freelance","₹10,00,001 - ₹20,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Moderate; middle of the road","Caste discrimination","No","","State","","","","","","","Yes","Yes","No","No","Yes",1,1,3,1,1,1,1,3,4,1,2,1,NA,1,"5f7b62be-1d52-9940-6390-0b5264054ca9","0","1","1",4,"0",1,1,1,4,"Hindu",0
"225","R_3EEdfkIX405TEpX","0",24,"Hindu","Forward castes","Post-graduate","Employed","More than ₹50,00,000","Currently married","None of the above",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Military tensions","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",2,1,1,3,1,1,1,2,3,1,2,2,1,NA,"5f7b63ae-c2a0-6ea2-5112-a94d94fbd469","0","1","1",8,"1",1,1,1,7,"Hindu",1
"226","R_xAvHY1wFHhPN0DT","1",39,"Hindu","Other backward classes (OBCs)","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","","","National","","Yes","Yes","Yes","Yes","","","","","Yes",4,4,4,4,4,4,4,4,4,4,4,4,1,NA,"5f7b6528-0771-6c1e-f7ea-69f39a4ef499","1","1","1",3,"1",1,1,1,7,"Hindu",1
"227","R_2Pcm0bQMu1WN1Ew","0",36,"Hindu","Forward castes","Post-graduate","Employed","₹20,00,001 - ₹30,00,000","Currently married","Indian National Congress (INC)",0,"Yes","Somewhat engaged","Yes","Yes","Wrong track","Disapprove","Moderate; middle of the road","Economic downturn","Yes","Village","State","National","","","","","","No","No","No","","Yes",3,4,3,3,3,2,2,4,4,4,4,4,NA,1,"5f7b63b1-8964-79ef-603b-7db6941dffbd","0","1","1",5,"1",1,1,1,4,"Hindu",1
"228","R_1EWll7mlTb9jHNf","0",24,"Hindu","Forward castes","Graduate","Employed","₹5,00,001 - ₹10,00,000","Never married","Bharatiya Janata Party (BJP)",0,"Yes","Extremely engaged","Yes","Yes","Wrong track","Disapprove","Slightly conservative","Economic downturn","No","","","","None","","","","","No","No","No","","Yes",1,2,3,1,1,1,1,3,1,4,1,1,NA,1,"5f7b64d1-8aa1-801d-f94d-0a4c6531383a","0","1","1",3,"0",1,1,1,3,"Hindu",0
"229","R_ZafAvpCfd4tmonv","1",32,"Hindu","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Haven't thought much about this","Economic downturn","Yes","Village","State","National","","Yes","Yes","Yes","Maybe","","","","","Yes",3,3,3,3,3,3,3,3,3,3,3,3,1,NA,"5f7b646a-94c8-b14b-1236-1dd27b39f778","0","1","1",4,"1",1,1,1,NA,"Hindu",1
"230","R_Xp2Qi2MOALROGg9","0",30,"Hindu","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Moderate; middle of the road","Economic downturn","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","No",1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,"5f7b6712-45d3-c897-4d92-9b35f63c55da","0","1","1",4,"1",1,1,1,4,"Hindu",1
"231","R_3QMMH1ftPdCVolX","0",35,"Hindu","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Wrong track","Approve","Liberal","Gender discrimination","Yes","Village","State","National","","","","","","Yes","Yes","Yes","No","Yes",1,1,3,1,3,1,1,2,4,3,2,3,NA,1,"5f7b6311-b9fa-7053-58ec-fd0fce7d9dcf","0","1","1",4,"1",1,1,1,6,"Hindu",1
"232","R_2CfyilDqjnBImEO","1",30,"Muslim","Scheduled castes","Graduate","Self-employed/freelance","₹30,00,001 - ₹40,00,000","Currently married","Indian National Congress (INC)",1,"Yes","Somewhat engaged","Yes","Yes","Wrong track","Approve","Moderate; middle of the road","Caste discrimination","Maybe","","","National","","Yes","Yes","Yes","No","","","","","Yes",3,3,3,2,3,4,3,3,3,4,4,3,1,NA,"5f7b65d3-9de1-c69a-0f08-9ddf1c270aa1","1","1","1",6,"1",1,1,1,4,"Muslim",0
"233","R_1nTIzsdgFQXnzX8","0",35,"Muslim","Other backward classes (OBCs)","Graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Aam Aadmi Party (AAP)",1,"Yes","Somewhat engaged","Yes","Yes","Wrong track","Disapprove","Conservative","Caste discrimination","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",2,3,2,3,1,4,4,3,4,2,3,2,1,NA,"5f7b66a5-543b-6e65-e513-f7ee0eebe512","1","1","1",3,"1",1,1,1,2,"Muslim",1
"234","R_1EXbYHLALk650CI","0",30,"Hindu","Forward castes","Post-graduate","Self-employed/freelance","₹10,00,001 - ₹20,00,000","Currently married","Aam Aadmi Party (AAP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Liberal","Economic downturn","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",1,1,1,1,1,1,1,2,1,3,3,NA,NA,1,"5f7b658e-6184-45c0-0a35-db32f0e8892b","0","1","1",4,"1",1,1,1,6,"Hindu",1
"235","R_2aKbCHGTRsJynbZ","1",29,"Sikh","Other backward classes (OBCs)","Post-graduate","Employed","₹40,00,001 - ₹50,00,000","Never married","Indian National Congress (INC)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","","","","","","","","Yes","Yes","Yes","Yes","Yes",3,3,4,4,4,3,2,3,4,4,4,3,NA,1,"5f7b6841-eb52-09eb-c95e-edba0e2d9780","1","1","1",7,"0",1,1,1,7,"Other",1
"236","R_ueJzlRDFsgAHyHn","0",33,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","","","National","","Yes","Yes","Yes","Yes","","","","","Yes",1,2,1,1,2,2,1,2,1,1,2,1,1,NA,"5f7b6740-861b-00ce-fefe-1268f4a87b9b","0","1","1",3,"1",1,1,1,7,"Hindu",1
"237","R_2PcGBcmmfekC5jH","0",24,"Hindu","Forward castes","Graduate","Student","₹0 - ₹2,50,000","Never married","Aam Aadmi Party (AAP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","","","","","","","","Yes","Yes","Yes","No","Yes",4,4,2,3,3,1,2,1,3,2,2,4,NA,1,"5f7b6a05-d0a1-290d-96cc-cb4ca68fa9e7","0","1","0",1,"0",1,1,1,7,"Hindu",1
"238","R_2AWi5KUOF8oWaxt","1",25,"Hindu","Scheduled castes","Post-graduate","Self-employed/freelance","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Caste discrimination","Yes","","State","","","Yes","Yes","Yes","Yes","","","","","Yes",3,3,2,4,2,4,4,4,4,4,4,4,1,NA,"5f7b67fb-d7cb-8e1d-2ee9-c9314342e2aa","1","1","1",3,"1",1,1,1,1,"Hindu",1
"239","R_2rj8KmQrhfxJ7tK","0",30,"Muslim","Forward castes","Graduate","Employed","₹20,00,001 - ₹30,00,000","Never married","None of the above",1,"Yes","Somewhat engaged","Yes","Yes","Wrong track","Disapprove","Moderate; middle of the road","Economic downturn","Yes","","","National","","","","","","No","No","Yes","No","Yes",1,2,4,4,2,1,1,1,3,4,3,1,NA,1,"5f7b68c6-3f58-47e7-b939-a89c108ed3ca","0","1","1",5,"0",1,1,1,4,"Muslim",1
"240","R_bNMsyr8YrCYkkcp","1",37,"Hindu","Forward castes","Graduate","Employed","More than ₹50,00,000","Currently married","Indian National Congress (INC)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",1,3,1,1,1,1,1,1,1,1,3,2,1,NA,"5f7b688c-153c-7751-fc3b-de46a4938b5f","0","1","1",8,"1",1,1,1,7,"Hindu",1
"241","R_3Dtep7ChgUMbJuI","0",35,"Christian","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Caste discrimination","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",1,1,2,2,1,1,1,2,2,3,3,3,1,NA,"5f7b6a3c-1704-9d69-52f3-f6c86b0e84f7","0","1","1",4,"1",1,1,1,7,"Other",1
"242","R_3fk0u2bC3nvfrsa","0",22,"Muslim","Other backward classes (OBCs)","Post-graduate","Employed","₹0 - ₹2,50,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Liberal","Economic downturn","Yes","Village","","","","","","","","Yes","Yes","Yes","Yes","Yes",1,1,1,1,2,1,1,4,2,2,2,1,NA,1,"5f7b695a-ab27-8490-85e5-1cb710d6631d","1","1","1",1,"0",1,1,1,6,"Muslim",1
"243","R_3nkFiuIJVSj9oS8","1",39,"Hindu","Other backward classes (OBCs)","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Military tensions","Yes","","","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,4,4,4,4,4,4,4,4,4,4,NA,1,"5f7b6b14-db2e-e654-9b21-a3e20309b304","1","1","1",3,"1",1,1,1,1,"Hindu",1
"244","R_3ptEyNspEfeFrZI","0",66,"Hindu","Forward castes","Post-graduate","Self-employed/freelance","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Haven't thought much about this","Economic downturn","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Maybe","Yes",2,3,2,1,1,2,2,2,1,3,3,3,NA,1,"5f7b6447-ffa2-a96c-2022-e9e091252611","0","1","1",4,"1",1,1,1,NA,"Hindu",1
"245","R_10HStKn6CD9oCZP","0",31,"Muslim","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Never married","Indian National Congress (INC)",1,"Yes","Somewhat engaged","Yes","Yes","Wrong track","Disapprove","Extremely liberal","Economic downturn","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",1,2,2,1,2,1,1,2,3,3,3,2,NA,1,"5f7b6aa4-a901-b350-364c-20be7218d847","0","1","1",4,"0",1,1,1,7,"Muslim",1
"246","R_3emqFKlZmQ9VtHl","1",40,"Muslim","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Indian National Congress (INC)",1,"Yes","Extremely engaged","Yes","Yes","Wrong track","Approve","Extremely liberal","Economic inequality","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,4,4,4,4,4,3,4,4,4,4,NA,1,"5f7b6a7d-1b6e-ae93-114c-760a1ba8945d","0","1","1",3,"1",1,1,1,7,"Muslim",1
"247","R_2CKFx1ElkGhmdiI","0",30,"Hindu","Forward castes","Graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Moderate; middle of the road","Economic downturn","Yes","Village","","","","Yes","Yes","Yes","Yes","","","","","Yes",2,3,3,2,2,2,2,3,2,2,3,3,1,NA,"5f7b6bfd-6857-5e85-90bc-a4f830c6bbf6","0","1","1",3,"1",1,1,1,4,"Hindu",1
